x_coord,y_coord,z_coord,voxel_size
-3.5,8.5,-319.5,1.0
-3.5,8.5,-311.5,1.0
-3.5,8.5,-327.5,1.0
4.5,12.5,-319.5,1.0
-3.5,8.5,-315.5,1.0
-3.5,8.5,-323.5,1.0
4.5,10.5,-327.5,1.0
-3.5,10.5,-311.5,1.0
4.5,10.5,-323.5,1.0
-3.5,10.5,-307.5,1.0
-3.5,8.5,-317.5,1.0
-3.5,8.5,-309.5,1.0
-3.5,8.5,-325.5,1.0
-3.5,8.5,-313.5,1.0
-3.5,8.5,-321.5,1.0
4.5,12.5,-321.5,1.0
6.5,10.5,-311.5,1.0
6.5,12.5,-309.5,1.0
4.5,10.5,-325.5,1.0
-3.5,10.5,-309.5,1.0
4.5,10.5,-329.5,1.0
4.5,10.5,-321.5,1.0
6.5,10.5,-309.5,1.0
6.5,10.5,-313.5,1.0
-2.5,8.5,-319.5,1.0
-2.5,8.5,-327.5,1.0
-2.5,8.5,-323.5,1.0
5.5,12.5,-315.5,1.0
3.5,12.5,-327.5,1.0
5.5,10.5,-319.5,1.0
-2.5,6.5,-331.5,1.0
-2.5,8.5,-325.5,1.0
-2.5,8.5,-321.5,1.0
5.5,12.5,-313.5,1.0
3.5,10.5,-331.5,1.0
-4.5,10.5,-307.5,1.0
7.5,10.5,-307.5,1.0
5.5,10.5,-317.5,1.0
-2.5,6.5,-333.5,1.0
-2.5,6.5,-329.5,1.0
-4.5,10.5,-309.5,1.0
3.5,10.5,-329.5,1.0
-4.5,10.5,-305.5,1.0
-3.5,9.5,-319.5,1.0
-3.5,9.5,-311.5,1.0
-3.5,9.5,-315.5,1.0
-3.5,9.5,-307.5,1.0
4.5,11.5,-319.5,1.0
4.5,11.5,-327.5,1.0
4.5,11.5,-331.5,1.0
4.5,11.5,-323.5,1.0
-3.5,7.5,-331.5,1.0
-3.5,9.5,-317.5,1.0
-3.5,9.5,-309.5,1.0
-3.5,9.5,-313.5,1.0
-3.5,9.5,-321.5,1.0
2.5,11.5,-335.5,1.0
6.5,11.5,-311.5,1.0
6.5,11.5,-315.5,1.0
6.5,11.5,-307.5,1.0
4.5,11.5,-317.5,1.0
4.5,11.5,-325.5,1.0
4.5,11.5,-329.5,1.0
4.5,11.5,-321.5,1.0
-3.5,7.5,-329.5,1.0
2.5,11.5,-333.5,1.0
6.5,11.5,-309.5,1.0
6.5,11.5,-313.5,1.0
-3.5,8.5,-318.5,1.0
-3.5,8.5,-310.5,1.0
-3.5,8.5,-326.5,1.0
-3.5,8.5,-314.5,1.0
-3.5,8.5,-322.5,1.0
4.5,12.5,-322.5,1.0
6.5,12.5,-310.5,1.0
4.5,10.5,-334.5,1.0
4.5,10.5,-326.5,1.0
-3.5,10.5,-310.5,1.0
4.5,10.5,-330.5,1.0
4.5,10.5,-322.5,1.0
-3.5,10.5,-306.5,1.0
-3.5,8.5,-316.5,1.0
-3.5,8.5,-324.5,1.0
-3.5,8.5,-312.5,1.0
-3.5,8.5,-320.5,1.0
4.5,12.5,-320.5,1.0
6.5,10.5,-310.5,1.0
6.5,12.5,-308.5,1.0
4.5,10.5,-324.5,1.0
-3.5,10.5,-308.5,1.0
4.5,10.5,-328.5,1.0
-3.5,10.5,-312.5,1.0
4.5,10.5,-320.5,1.0
6.5,10.5,-308.5,1.0
6.5,10.5,-312.5,1.0
-4.5,9.5,-311.5,1.0
-4.5,9.5,-315.5,1.0
-4.5,9.5,-307.5,1.0
5.5,11.5,-319.5,1.0
5.5,11.5,-311.5,1.0
-2.5,7.5,-335.5,1.0
-2.5,7.5,-327.5,1.0
5.5,11.5,-315.5,1.0
5.5,11.5,-323.5,1.0
-2.5,7.5,-331.5,1.0
-2.5,7.5,-323.5,1.0
3.5,11.5,-335.5,1.0
3.5,11.5,-327.5,1.0
3.5,11.5,-331.5,1.0
7.5,11.5,-307.5,1.0
-4.5,9.5,-309.5,1.0
-4.5,9.5,-313.5,1.0
5.5,11.5,-317.5,1.0
5.5,11.5,-309.5,1.0
-2.5,7.5,-333.5,1.0
-2.5,7.5,-325.5,1.0
5.5,11.5,-313.5,1.0
5.5,11.5,-321.5,1.0
-2.5,7.5,-329.5,1.0
3.5,11.5,-333.5,1.0
3.5,11.5,-325.5,1.0
7.5,11.5,-309.5,1.0
3.5,11.5,-329.5,1.0
-2.5,8.5,-318.5,1.0
-2.5,8.5,-326.5,1.0
-2.5,8.5,-322.5,1.0
5.5,12.5,-314.5,1.0
3.5,12.5,-326.5,1.0
5.5,10.5,-318.5,1.0
-2.5,6.5,-334.5,1.0
-2.5,6.5,-330.5,1.0
-2.5,8.5,-324.5,1.0
5.5,12.5,-316.5,1.0
-2.5,8.5,-320.5,1.0
3.5,10.5,-334.5,1.0
3.5,10.5,-330.5,1.0
-4.5,10.5,-306.5,1.0
7.5,10.5,-306.5,1.0
3.5,12.5,-328.5,1.0
5.5,10.5,-316.5,1.0
-2.5,6.5,-332.5,1.0
3.5,10.5,-332.5,1.0
-4.5,10.5,-308.5,1.0
3.5,10.5,-328.5,1.0
-4.5,10.5,-304.5,1.0
-3.5,9.5,-318.5,1.0
-3.5,9.5,-310.5,1.0
-3.5,9.5,-314.5,1.0
-3.5,9.5,-306.5,1.0
-3.5,9.5,-322.5,1.0
4.5,11.5,-318.5,1.0
4.5,11.5,-326.5,1.0
4.5,11.5,-330.5,1.0
4.5,11.5,-322.5,1.0
-3.5,7.5,-330.5,1.0
-3.5,9.5,-316.5,1.0
-3.5,9.5,-308.5,1.0
-3.5,9.5,-312.5,1.0
-3.5,9.5,-320.5,1.0
2.5,11.5,-334.5,1.0
6.5,11.5,-310.5,1.0
6.5,11.5,-314.5,1.0
6.5,11.5,-306.5,1.0
4.5,11.5,-316.5,1.0
4.5,11.5,-324.5,1.0
4.5,11.5,-328.5,1.0
4.5,11.5,-320.5,1.0
-3.5,7.5,-328.5,1.0
2.5,11.5,-332.5,1.0
6.5,11.5,-308.5,1.0
6.5,11.5,-312.5,1.0
-4.5,9.5,-310.5,1.0
-4.5,9.5,-314.5,1.0
-4.5,9.5,-306.5,1.0
5.5,11.5,-318.5,1.0
5.5,11.5,-310.5,1.0
-2.5,7.5,-334.5,1.0
-2.5,7.5,-326.5,1.0
5.5,11.5,-314.5,1.0
5.5,11.5,-322.5,1.0
-2.5,7.5,-330.5,1.0
-2.5,7.5,-322.5,1.0
3.5,11.5,-334.5,1.0
3.5,11.5,-326.5,1.0
3.5,11.5,-330.5,1.0
7.5,11.5,-306.5,1.0
-4.5,9.5,-316.5,1.0
-4.5,9.5,-308.5,1.0
-4.5,9.5,-312.5,1.0
5.5,11.5,-316.5,1.0
-2.5,7.5,-332.5,1.0
-2.5,7.5,-324.5,1.0
5.5,11.5,-312.5,1.0
5.5,11.5,-320.5,1.0
-2.5,7.5,-328.5,1.0
3.5,11.5,-332.5,1.0
3.5,11.5,-324.5,1.0
7.5,11.5,-308.5,1.0
3.5,11.5,-328.5,1.0
